journal_name,category,submissions,accepted,rejected,acceptance_rate,rejection_rate,quarter,year,editor_name,avg_review_days,country
Journal of Environmental Chemistry 5,Environmental,104,42,62,40.38,59.62,Q2,2023,Nina Choudhury,45,Germany
Review of Marine Ecology,Social Sciences,1008,826,182,81.94,18.06,Q2,2024,James Okafor,102,Canada
Review of Machine Learning Theory,Business,996,884,112,88.76,11.24,Q1,2025,James Nguyen,69,Canada
International Journal of Marine Ecology,Humanities,432,97,335,22.45,77.55,Q4,2025,Aisha Müller,41,Singapore
Journal of Cognitive Neuroscience,STEM,194,113,81,58.25,41.75,Q1,2025,Priya Carvalho,19,India
Journal of Machine Learning Theory,STEM,1034,985,49,95.26,4.74,Q4,2023,Priya Patel,66,Netherlands
Advances in Hydrology Research,Medicine,971,292,679,30.07,69.93,Q4,2024,Aisha Bennett,55,UK
International Journal of Library & Information Studies,STEM,682,58,624,8.5,91.5,Q4,2023,Elena Carvalho,38,USA
Journal of Environmental Chemistry 6,Environmental,179,172,7,96.09,3.91,Q4,2023,James Bennett,92,UK
International Journal of Machine Learning Theory,Humanities,1197,1070,127,89.39,10.61,Q3,2024,Oliver Liu,48,Netherlands
Journal of Biomedical Imaging 7,Environmental,654,468,186,71.56,28.44,Q1,2024,Priya Choudhury,97,USA
International Journal of Microbial Biotechnology,Humanities,476,259,217,54.41,45.59,Q2,2024,Marco Okafor,49,Australia
Journal of Organizational Psychology 8,STEM,1152,619,533,53.73,46.27,Q1,2025,Elena Rossi,102,Germany
Advances in Educational Psychology,Business,259,79,180,30.5,69.5,Q3,2024,Oliver Liu,44,Australia
Review of Digital Humanities,Humanities,144,23,121,15.97,84.03,Q4,2025,Nina Nguyen,18,Germany
Advances in Neuroinformatics,STEM,944,564,380,59.75,40.25,Q4,2025,Elena Nguyen,32,Germany
International Journal of Archaeometry,Humanities,796,596,200,74.87,25.13,Q2,2025,Sofia Patel,23,Canada
International Journal of Energy Systems,Environmental,470,349,121,74.26,25.74,Q1,2023,Marco Carvalho,70,Germany
Journal of Cognitive Neuroscience 9,Social Sciences,372,90,282,24.19,75.81,Q1,2024,Aisha Liu,118,India
Advances in Neuroinformatics 10,Humanities,261,195,66,74.71,25.29,Q4,2023,Oliver Bennett,76,Australia
Journal of Marine Ecology,Humanities,88,84,4,95.45,4.55,Q4,2023,Marco Rossi,26,Canada
Review of Biomedical Imaging,Humanities,1138,678,460,59.58,40.42,Q1,2023,Nina Patel,92,UK
International Journal of Financial Economics,Social Sciences,929,353,576,38.0,62.0,Q3,2025,Sofia Carvalho,32,India
Advances in Materials Science,Business,933,1,932,0.11,99.89,Q2,2025,Marco Müller,26,Canada
Advances in Biomedical Imaging,Business,295,153,142,51.86,48.14,Q3,2025,Sofia Liu,69,Australia
Journal of Social Policy,STEM,901,680,221,75.47,24.53,Q2,2024,Nina Müller,88,Australia
Advances in Social Policy,Business,920,804,116,87.39,12.61,Q3,2025,Ken Choudhury,74,India
Review of Hydrology Research,Medicine,387,337,50,87.08,12.92,Q3,2023,Elena Liu,29,Australia
Journal of Hydrology Research,STEM,447,75,372,16.78,83.22,Q1,2023,Oliver Choudhury,96,Singapore
Review of Climate Dynamics,Medicine,438,367,71,83.79,16.21,Q4,2025,Ken Müller,49,UK
International Journal of Tourism Economics,STEM,910,224,686,24.62,75.38,Q4,2023,Priya Carvalho,49,Singapore
Journal of Hydrology Research 11,Environmental,991,683,308,68.92,31.08,Q3,2025,Ken Carvalho,72,Singapore
Journal of Library & Information Studies,Business,1012,460,552,45.45,54.55,Q2,2024,Nina Carvalho,80,India
Advances in Organizational Psychology,Environmental,198,182,16,91.92,8.08,Q2,2024,Nina Liu,58,USA
Journal of Structural Engineering,Social Sciences,513,392,121,76.41,23.59,Q2,2025,Oliver Okafor,71,Canada
Review of Machine Learning Theory 12,STEM,167,52,115,31.14,68.86,Q4,2024,Priya Müller,79,Canada
Advances in Tourism Economics 13,Social Sciences,838,429,409,51.19,48.81,Q2,2025,Ken Bennett,52,Singapore
International Journal of Sustainable Agriculture,Environmental,728,684,44,93.96,6.04,Q4,2025,Aisha Choudhury,34,UK
Review of Philosophical Studies,STEM,1195,55,1140,4.6,95.4,Q4,2023,Aisha Choudhury,41,Australia
Review of Public Health Ethics,Social Sciences,473,232,241,49.05,50.95,Q3,2024,Sofia Rossi,114,Australia
International Journal of Spectroscopic Methods,Business,79,69,10,87.34,12.66,Q3,2023,Oliver Okafor,117,UK
International Journal of Marine Ecology 14,Business,448,429,19,95.76,4.24,Q2,2023,Oliver Patel,78,USA
Journal of Organizational Psychology 15,Environmental,564,377,187,66.84,33.16,Q1,2023,Aisha Rossi,31,UK
Advances in Philosophical Studies,Business,808,406,402,50.25,49.75,Q2,2025,James Bennett,31,Australia
International Journal of Hydrology Research,Business,1199,84,1115,7.01,92.99,Q4,2024,Marco Okafor,82,Canada
International Journal of Cognitive Neuroscience,Social Sciences,900,842,58,93.56,6.44,Q1,2024,Sofia Liu,99,Germany
Review of Neuroinformatics,Environmental,1108,553,555,49.91,50.09,Q4,2025,Ken Müller,111,Australia
Advances in Cognitive Neuroscience,Environmental,542,88,454,16.24,83.76,Q4,2024,Oliver Choudhury,90,Netherlands
Advances in Clinical Medicine,Humanities,1052,665,387,63.21,36.79,Q4,2023,Oliver Liu,120,Canada
Advances in Financial Economics,Social Sciences,605,569,36,94.05,5.95,Q2,2023,James Bennett,110,Singapore
Journal of Polymer Chemistry 16,Humanities,1015,661,354,65.12,34.88,Q4,2025,Ken Nguyen,29,India
Review of Polymer Chemistry,Humanities,538,313,225,58.18,41.82,Q3,2025,Ken Carvalho,85,Netherlands
Advances in Energy Systems,Medicine,969,277,692,28.59,71.41,Q3,2024,Oliver Okafor,110,Canada
International Journal of Library & Information Studies 17,Environmental,1137,379,758,33.33,66.67,Q2,2023,Ken Rossi,110,Australia
International Journal of Archaeometry 18,Business,437,151,286,34.55,65.45,Q3,2023,Aisha Rossi,19,Germany
Advances in Materials Science 19,Environmental,151,141,10,93.38,6.62,Q2,2024,Ken Okafor,19,Australia
Review of Spectroscopic Methods,STEM,942,348,594,36.94,63.06,Q1,2023,Nina Choudhury,32,Netherlands
Review of Environmental Chemistry 20,Environmental,149,38,111,25.5,74.5,Q3,2023,James Bennett,33,Netherlands
Journal of Tourism Economics,Environmental,1110,779,331,70.18,29.82,Q4,2024,Nina Müller,57,UK
International Journal of Tourism Economics 21,Medicine,465,320,145,68.82,31.18,Q3,2023,James Patel,48,USA
Journal of Clinical Medicine,Humanities,876,461,415,52.63,47.37,Q4,2025,Nina Nguyen,47,Australia
Review of Environmental Chemistry 22,Medicine,518,270,248,52.12,47.88,Q2,2025,Sofia Okafor,87,Germany
Advances in Archaeometry,STEM,331,36,295,10.88,89.12,Q2,2023,Nina Rossi,74,Singapore
Advances in Polymer Chemistry,STEM,864,278,586,32.18,67.82,Q4,2025,Ken Okafor,94,Netherlands
Advances in Financial Economics 23,STEM,552,26,526,4.71,95.29,Q2,2023,Priya Rossi,91,Germany
Review of Urban Geography,Social Sciences,945,938,7,99.26,0.74,Q2,2024,Sofia Choudhury,29,Canada
Review of Public Health Ethics 24,Social Sciences,697,686,11,98.42,1.58,Q2,2023,Marco Müller,106,Australia
Review of Archaeometry,STEM,1166,75,1091,6.43,93.57,Q1,2024,Marco Rossi,59,Netherlands
International Journal of Biomedical Imaging,Environmental,1151,946,205,82.19,17.81,Q1,2024,Oliver Carvalho,64,Singapore
Review of Tourism Economics,Social Sciences,145,52,93,35.86,64.14,Q2,2024,Nina Choudhury,107,USA
International Journal of Climate Dynamics,Medicine,530,162,368,30.57,69.43,Q1,2024,Elena Müller,29,USA
Review of Educational Psychology,Social Sciences,355,255,100,71.83,28.17,Q3,2025,Elena Rossi,71,Singapore
Journal of Organizational Psychology 25,Humanities,1168,296,872,25.34,74.66,Q2,2024,Elena Patel,26,Netherlands
Advances in Hydrology Research 26,Social Sciences,1079,547,532,50.7,49.3,Q3,2023,Nina Choudhury,37,Singapore
Advances in Public Health Ethics,Medicine,1170,1112,58,95.04,4.96,Q4,2024,Marco Bennett,107,Netherlands
Journal of Cognitive Neuroscience 27,Business,881,44,837,4.99,95.01,Q4,2024,Sofia Müller,102,Germany
Review of Materials Science,Environmental,298,257,41,86.24,13.76,Q3,2025,James Choudhury,30,Singapore
International Journal of Library & Information Studies 28,Humanities,335,209,126,62.39,37.61,Q2,2025,James Choudhury,118,Canada
Review of Climate Dynamics 29,STEM,204,84,120,41.18,58.82,Q4,2025,Marco Choudhury,87,USA
Journal of Climate Dynamics,Business,628,232,396,36.94,63.06,Q1,2025,Sofia Okafor,115,USA
Review of Neuroinformatics 30,Humanities,653,29,624,4.44,95.56,Q3,2023,Priya Rossi,63,Netherlands
Journal of Marine Ecology 31,Environmental,1127,843,284,74.8,25.2,Q2,2025,Aisha Patel,28,Netherlands
Journal of Spectroscopic Methods,STEM,333,118,215,35.44,64.56,Q3,2024,Ken Rossi,103,Singapore
Advances in Biomedical Imaging 32,Social Sciences,1159,323,836,27.87,72.13,Q4,2023,Marco Rossi,99,Australia
Review of Cognitive Neuroscience,Environmental,658,203,455,30.85,69.15,Q4,2024,James Bennett,66,Canada
Advances in Polymer Chemistry 33,Business,644,22,622,3.42,96.58,Q4,2025,Nina Nguyen,90,UK
Review of Archaeometry 34,Humanities,626,235,391,37.54,62.46,Q3,2025,Oliver Bennett,97,Germany
International Journal of Climate Dynamics 35,Humanities,120,39,81,32.5,67.5,Q1,2024,Marco Patel,29,Canada
Review of Neuroinformatics 36,Medicine,451,67,384,14.86,85.14,Q3,2025,Elena Carvalho,52,Australia
Review of Hydrology Research 37,Medicine,644,346,298,53.73,46.27,Q4,2023,James Patel,114,Netherlands
Advances in Environmental Chemistry 38,Business,848,14,834,1.65,98.35,Q1,2024,Ken Liu,104,Australia
Review of Archaeometry 39,Environmental,800,110,690,13.75,86.25,Q2,2025,Ken Nguyen,97,Canada
Journal of Climate Dynamics 40,STEM,169,162,7,95.86,4.14,Q3,2024,Sofia Okafor,35,UK
Advances in Spectroscopic Methods,Business,277,49,228,17.69,82.31,Q2,2023,Sofia Choudhury,65,Netherlands
Journal of Machine Learning Theory 41,Humanities,242,213,29,88.02,11.98,Q4,2024,Nina Nguyen,106,India
Review of Organizational Psychology,Social Sciences,523,371,152,70.94,29.06,Q3,2023,Elena Liu,25,Australia
Journal of Educational Psychology,Humanities,971,93,878,9.58,90.42,Q2,2025,Priya Nguyen,118,India
Journal of Hydrology Research 42,Medicine,1196,420,776,35.12,64.88,Q2,2023,Oliver Bennett,60,UK
Advances in Cognitive Neuroscience 43,STEM,336,66,270,19.64,80.36,Q3,2025,Aisha Okafor,102,Germany
International Journal of Energy Systems 44,Business,527,331,196,62.81,37.19,Q2,2023,Nina Nguyen,34,Netherlands
International Journal of Library & Information Studies 45,Environmental,170,121,49,71.18,28.82,Q3,2024,Elena Okafor,75,India
International Journal of Library & Information Studies 46,Social Sciences,1107,617,490,55.74,44.26,Q1,2024,Priya Choudhury,69,USA
